Mix ID,Name,Description,Cement,Fly Ash,Slag,Water,HRWR,Fine Aggregate,Time,GWP,Strength (Mean),Strength (Std),# of measurements
Jan_2023_0,,,265,35,200,105,5,1375,1,118,5000,85,3
Jan_2023_0,,,265,35,200,105,5,1375,3,118,7518,305,3
Jan_2023_0,,,265,35,200,105,5,1375,5,118,7318,262,3
Jan_2023_0,,,265,35,200,105,5,1375,28,118,10290,1110,3
Jan_2023_1,,,161,165,174,119,3,1375,1,76,3440,131,3
Jan_2023_1,,,161,165,174,119,3,1375,3,76,5583,791,3
Jan_2023_1,,,161,165,174,119,3,1375,5,76,4897,528,3
Jan_2023_1,,,161,165,174,119,3,1375,28,76,6222,841,3
Jan_2023_2,,,258,134,108,224,0,1375,1,113,1506,142,3
Jan_2023_2,,,258,134,108,224,0,1375,3,113,2918,65,3
Jan_2023_2,,,258,134,108,224,0,1375,5,113,3637,257,3
Jan_2023_2,,,258,134,108,224,0,1375,28,113,6276,655,3
Jan_2023_3,,,159,161,180,131,0,1375,1,74,3114,206,3
Jan_2023_3,,,159,161,180,131,0,1375,3,74,4555,400,3
Jan_2023_3,,,159,161,180,131,0,1375,5,74,4308,313,3
Jan_2023_3,,,159,161,180,131,0,1375,28,74,4433,462,3
Jan_2023_4,,,238,166,96,175,0,1375,1,105,2905,320,3
Jan_2023_4,,,238,166,96,175,0,1375,3,105,4313,375,3
Jan_2023_4,,,238,166,96,175,0,1375,5,105,4428,68,3
Jan_2023_4,,,238,166,96,175,0,1375,28,105,7243,1293,3
Jan_2023_5,,,341,119,40,116,3,1375,1,148,6279,701,3
Jan_2023_5,,,341,119,40,116,3,1375,3,148,7302,485,3
Jan_2023_5,,,341,119,40,116,3,1375,5,148,7368,856,3
Jan_2023_5,,,341,119,40,116,3,1375,28,148,9029,816,3
Jan_2023_6,,,327,25,148,192,0,1375,1,141,3411,174,3
Jan_2023_6,,,327,25,148,192,0,1375,3,141,5008,331,3
Jan_2023_6,,,327,25,148,192,0,1375,5,141,5308,189,3
Jan_2023_6,,,327,25,148,192,0,1375,28,141,6647,412,3
Jan_2023_7,,,239,39,222,238,0,1375,1,106,1659,60,3
Jan_2023_7,,,239,39,222,238,0,1375,3,106,2893,183,3
Jan_2023_7,,,239,39,222,238,0,1375,5,106,3723,224,3
Jan_2023_7,,,239,39,222,238,0,1375,28,106,5786,418,3
Jan_2023_8,,,199,123,178,139,1,1375,1,90,3532,161,3
Jan_2023_8,,,199,123,178,139,1,1375,3,90,5198,235,3
Jan_2023_8,,,199,123,178,139,1,1375,5,90,5568,149,3
Jan_2023_8,,,199,123,178,139,1,1375,28,90,8685,403,3
Feb_2023_0,,,397.1704,0,102.8296,207.2848,0,1375,1,169,3273.3,340.2,3
Feb_2023_0,,,397.1704,0,102.8296,207.2848,0,1375,3,169,4433.3,211.2,3
Feb_2023_0,,,397.1704,0,102.8296,207.2848,0,1375,5,169,4708.3,740.8,3
Feb_2023_0,,,397.1704,0,102.8296,207.2848,0,1375,28,169,6674.2,551.4,3
Feb_2023_1,,,377.256,122.744,0,178.1134,0,1375,1,161,4105.8,173.1,3
Feb_2023_1,,,377.256,122.744,0,178.1134,0,1375,3,161,5081.7,103.9,3
Feb_2023_1,,,377.256,122.744,0,178.1134,0,1375,5,161,5665.8,840.6,3
Feb_2023_1,,,377.256,122.744,0,178.1134,0,1375,28,161,7347.5,1002.5,3
Feb_2023_2,,,371.4286,0,128.5714,222.5441,0,1375,1,159,3060,106.9,3
Feb_2023_2,,,371.4286,0,128.5714,222.5441,0,1375,3,159,4136.7,96.7,3
Feb_2023_2,,,371.4286,0,128.5714,222.5441,0,1375,5,159,4672.5,319,3
Feb_2023_2,,,371.4286,0,128.5714,222.5441,0,1375,28,159,6424.2,716.2,3
Feb_2023_3,,,415.4077,84.5923,0,176.1032,0,1375,1,176,4401.7,328.1,3
Feb_2023_3,,,415.4077,84.5923,0,176.1032,0,1375,3,176,5672.5,214.3,3
Feb_2023_3,,,415.4077,84.5923,0,176.1032,0,1375,5,176,6100.8,370.5,3
Feb_2023_3,,,415.4077,84.5923,0,176.1032,0,1375,28,176,7659.2,641.3,3
Feb_2023_4,,,250.2285,0,249.7715,198.4364,0,1375,1,110,2298.3,223.3,3
Feb_2023_4,,,250.2285,0,249.7715,198.4364,0,1375,3,110,4156.7,142.2,3
Feb_2023_4,,,250.2285,0,249.7715,198.4364,0,1375,5,110,5126.7,111.4,3
Feb_2023_4,,,250.2285,0,249.7715,198.4364,0,1375,28,110,7434.2,193.6,3
Feb_2023_5,,,350,0,150,100,6.5,1375,1,153,7570.8,1786.4,3
Feb_2023_5,,,350,0,150,100,6.5,1375,3,153,9342.5,1116.4,3
Feb_2023_5,,,350,0,150,100,6.5,1375,5,153,9147.5,551,3
Feb_2023_5,,,350,0,150,100,6.5,1375,28,153,10800.8,1841.1,3
Feb_2023_6,,,308.6762,21.81095,169.51285,100,6.5,1375,1,136,6048.3,469.2,3
Feb_2023_6,,,308.6762,21.81095,169.51285,100,6.5,1375,3,136,8549.2,1028.8,3
Feb_2023_6,,,308.6762,21.81095,169.51285,100,6.5,1375,5,136,7696.7,1109,3
Feb_2023_6,,,308.6762,21.81095,169.51285,100,6.5,1375,28,136,10181.7,1462,3
Feb_2023_7,,,272.20255,32.20387,195.5936,100,6.5,1375,1,122,6368.3,296.9,3
Feb_2023_7,,,272.20255,32.20387,195.5936,100,6.5,1375,3,122,8845.8,694.4,3
Feb_2023_7,,,272.20255,32.20387,195.5936,100,6.5,1375,5,122,10335,742.5,3
Feb_2023_7,,,272.20255,32.20387,195.5936,100,6.5,1375,28,122,10148.3,303.4,3
Feb_2023_8,,,208.11409,88.50898,203.37694,100,6.5,1375,1,96,4992.5,630.7,3
Feb_2023_8,,,208.11409,88.50898,203.37694,100,6.5,1375,3,96,7520.8,317.5,3
Feb_2023_8,,,208.11409,88.50898,203.37694,100,6.5,1375,5,96,8154.2,1206,3
Feb_2023_8,,,208.11409,88.50898,203.37694,100,6.5,1375,28,96,11198.3,427.4,3
3_2023_0,,,150.5,129.4,220.1,124.9,2.5,1375,1,71,3105,98.4,3
3_2023_0,,,150.5,129.4,220.1,124.9,2.5,1375,3,71,4465.8,222.2,3
3_2023_0,,,150.5,129.4,220.1,124.9,2.5,1375,5,71,5439.2,8.8,3
3_2023_0,,,150.5,129.4,220.1,124.9,2.5,1375,28,71,8588,953,3
3_2023_1,,,241.6,62.1,196.3,112,5,1375,1,109,5775.8333,318.1,3
3_2023_1,,,241.6,62.1,196.3,112,5,1375,3,109,7818.3,470.4,3
3_2023_1,,,241.6,62.1,196.3,112,5,1375,5,109,9211.7,578,3
